id	type	longitude	latitude	elevation	
1	source	0.0	0.0	0	
2	diverge	1.0	0.0	0	
3	diverge	2.0	-1.0	0	
4	merge	2.0	1.0	0	
900	pedInt	0.8964466094067263	0.25	0	
516	mid-sidewalk	4.0	0.25	0	
5	merge	3.0	0.0	0	
517	mid-sidewalk	4.0	-0.25	0	
901	pedInt	0.896446609406726	-0.25	0	
6	sink	4.0	0.0	0	
518	mid-sidewalk	5.0	-0.25	0	
902	pedInt	1.3535533905932737	0.0	0	
7	sink	5.0	0.0	0	
903	pedInt	2.25	-0.39644660940672627	0	
519	mid-sidewalk	5.0	0.25	0	
904	pedInt	1.75	-0.39644660940672627	0	
905	pedInt	1.6464466094067263	-1.0	0	
906	pedInt	2.3535533905932735	-1.0	0	
907	pedInt	1.7499999999999993	0.3964466094067257	0	
908	pedInt	2.25	0.39644660940672694	0	
909	pedInt	2.3535533905932735	1.0	0	
910	pedInt	1.6464466094067267	1.0	0	
911	pedInt	3.103553390593274	0.25	0	
912	pedInt	2.646446609406726	4.329780281177467E-17	0	
913	pedInt	3.103553390593274	-0.24999999999999992	0	
9500	dummy	1.5308084989341915E-17	0.25	0	
9501	dummy	-4.592425496802574E-17	-0.25	0	
9001	dummy	0.0	0.0	0	
9002	dummy	1.0	0.0	0	
9003	dummy	2.0	-1.0	0	
9004	dummy	2.0	1.0	0	
9900	dummy	0.8964466094067263	0.25	0	
9516	dummy	4.0	0.25	0	
9005	dummy	3.0	0.0	0	
9517	dummy	4.0	-0.25	0	
9901	dummy	0.896446609406726	-0.25	0	
9006	dummy	4.0	0.0	0	
9518	dummy	5.0	-0.25	0	
9902	dummy	1.3535533905932737	0.0	0	
9007	dummy	5.0	0.0	0	
9903	dummy	2.25	-0.39644660940672627	0	
9519	dummy	5.0	0.25	0	
9904	dummy	1.75	-0.39644660940672627	0	
9905	dummy	1.6464466094067263	-1.0	0	
9906	dummy	2.3535533905932735	-1.0	0	
9907	dummy	1.7499999999999993	0.3964466094067257	0	
9908	dummy	2.25	0.39644660940672694	0	
9909	dummy	2.3535533905932735	1.0	0	
9910	dummy	1.6464466094067267	1.0	0	
9911	dummy	3.103553390593274	0.25	0	
9912	dummy	2.646446609406726	4.329780281177467E-17	0	
9913	dummy	3.103553390593274	-0.24999999999999992	0	
500	mid-sidewalk	1.5308084989341915E-17	0.25	0	
501	mid-sidewalk	-4.592425496802574E-17	-0.25	0	
